 Frames  X Position (px)  Y Position (px)  Angle (deg)
 429    28.743590        39.666667        222.032766  
 430    28.500000        40.354167        206.782540  
 431    28.428571        40.190476        209.200011  
 432    28.500000        39.645833        219.163616  
 433    28.577778        39.577778        221.153913  
 434    29.000000        39.733333        224.813072  
 435    29.577778        38.577778        247.583778  
 436    30.500000        38.500000        264.557076  
 437    30.645833        38.500000        267.320071  
 438    31.500000        38.500000        283.339778  
 439    31.354167        38.500000        280.683137  
 440    31.577778        38.422222        284.378123  
 441    32.645833        38.500000        301.716317  
 442    32.645833        38.500000        301.716317  
 443    33.500000        39.000000        317.248130  
 444    34.500000        40.354167        342.733564  
 445    34.500000        40.354167        342.733564  
 446    34.577778        40.577778        346.208658  
 447    35.256410        40.666667        349.335598  
 448    35.422222        41.422222        358.935444  
 449    35.422222        42.422222         11.152330  
 450    35.422222        42.422222         11.152330  
 451    35.500000        42.645833         13.567752  
 452    35.500000        42.645833         13.567752  
 453    35.500000        43.645833         24.393959  
 454    35.354167        44.500000         33.224044  
 455    35.000000        44.500000         35.376188  
 456    34.577778        44.577778         38.994707  
 457    34.500000        45.000000         43.237440  
 458    33.577778        45.422222         54.505823  
 459    33.393939        45.939394         59.526755  
 460    33.444444        45.833333         58.428302  
 461    32.222222        46.222222         73.062242  
 462    31.500000        46.354167         81.625623  
 463    31.375000        46.000000         82.537411  
 464    31.333333        46.256410         83.431946  
 465    31.222222        46.222222         84.720696  
 466    30.500000        46.354167         93.385319  
 467    29.500000        45.645833        107.274356  
 468    29.500000        45.500000        107.865987  
 469    28.333333        44.743590        127.173500  
 470    27.939394        44.393939        134.616981  
 471    27.777778        43.777778        142.974863  
 472    27.743590        42.666667        159.161242  
 473    27.939394        42.393939        162.722797  
 474    28.000000        42.000000        169.994464  
 475    28.000000        42.000000        169.994464  
 476    27.733333        41.000000        189.452744  
 477    27.777778        41.222222        185.432404  
 478    27.777778        41.222222        185.432404  
 479    28.000000        40.500000        199.892886  
 480    28.500000        40.354167        206.782540  
 481    28.500000        40.354167        206.782540  
 482    28.500000        40.354167        206.782540  
 483    28.500000        40.354167        206.782540  
 484    28.333333        40.256410        207.035674  
 485    28.000000        40.500000        199.892886  
 486    28.222222        39.777778        214.013149  
 487    28.288889        40.044444        210.374229  
 488    28.577778        39.577778        221.153913  
 489    28.428571        39.809524        215.770243  
 490    28.666667        39.743590        219.775578  
 491    28.500000        39.500000        221.292814  
 492    28.428571        40.190476        209.200011  
 493    28.571429        39.809524        217.484365  
 494    28.500000        39.645833        219.163616  
 495    28.577778        39.577778        221.153913  
 496    28.577778        39.577778        221.153913  
 497    28.645833        39.500000        223.171578  
 498    28.743590        39.666667        222.032766  
 499    28.645833        39.500000        223.171578  
 500    28.777778        39.777778        220.743945  
 501    28.303030        40.303030        205.887882  
 502    28.333333        40.416667        203.988470  
 503    28.000000        40.500000        199.892886  
 504    28.000000        40.733333        195.542414  
 505    28.303030        40.303030        205.887882  
 506    29.000000        39.500000        228.343552  
 507    28.606061        39.939394        215.735616  
 508    28.777778        39.777778        220.743945  
 509    28.733333        40.000000        216.300936  
 510    28.743590        39.666667        222.032766  
 511    28.500000        40.000000        213.410384  
